Titulo,Codigo,Creditos,Requisitos,Profesores
Laboratorio de Modelamiento Matematico I,MA5500,6,['MA49A/MA4902/AUTOR'],"['Alejandro Maass S.', 'Jaime San Martin']"
Teoria de Grafos,MA5505,6,['MA3705'],['Martin Matamala']
Seminario de Recurrencia en Teoria Ergodica,MA5506,6,['MA3802/MA5802'],['Sebastian Donoso F.']
Ecologia Matematica,MA5509,6,['MA2002'],['Salome Martinez S.']
Analisis no Lineal,MA5603,6,['MA5601/MA4802'],['Raul Manasevich T.']
Analisis Convexo y Dualidad,MA5801,6,['MA4801/AUTOR'],['Alejandro Jofre C.']
Computacion Distribuida,MA6140,6,['MA3705/AUTOR'],['Ivan Rapaport']
Introduccion al Trabajo de Titulo,MA6908,3,['No tiene'],['Hanne Van Den Bosch']
Trabajo de Titulo,MA6909,21,"['(MA6908/MA6907)', '(EI4205S/EI2090)']",['Hanne Van Den Bosch']
Trabajo de Memoria de Titulo,MA6910,21,"['(MA6908/MA6907)', '(EI4205/EI2090)', 'AUTOR']",['Hanne Van Den Bosch']
Trabajo de Tesis II,MA8902,,,[]
Trabajo de Tesis III,MA8903,,,[]
Trabajo de Tesis IV,MA8904,,,[]
